,姓名,得分,投篮,命中,出手,时间,篮板,助攻,抢断,盖帽,失误,罚球命中,罚球总数,三分命中,三分出手
0,沙奎尔-奥尼尔,44,60.7%,17,28,52,20,5,1,0,4,10,22,0,0
1,沙奎尔-奥尼尔,28,63.2%,12,19,45,20,9,1,8,5,4,10,0,0
2,沙奎尔-奥尼尔,30,55.0%,11,20,41,12,3,0,4,3,8,9,0,0
3,沙奎尔-奥尼尔,34,52.0%,13,25,42,14,5,0,0,3,8,16,0,0
4,沙奎尔-奥尼尔,29,55.6%,10,18,45,13,2,0,5,5,9,19,0,0
5,阿伦-艾弗森,48,43.9%,18,41,52,5,6,5,0,3,9,9,3,8
6,阿伦-艾弗森,23,34.5%,10,29,47,4,3,1,0,3,0,4,3,10
7,阿伦-艾弗森,35,40.0%,12,30,47,12,4,0,1,1,10,13,1,6
8,阿伦-艾弗森,35,40.0%,12,30,46,4,4,1,0,2,10,14,1,4
9,阿伦-艾弗森,37,43.8%,14,32,45,3,2,2,0,3,6,8,3,11
10,科比-布莱恩特,15,31.8%,7,22,52,3,5,1,3,6,1,1,0,0
11,科比-布莱恩特,31,47.8%,11,23,47,8,6,2,2,2,8,8,1,2
12,科比-布莱恩特,32,43.3%,13,30,48,6,3,2,0,3,6,6,0,2
13,科比-布莱恩特,19,46.2%,6,13,43,10,9,1,1,4,7,12,0,2
14,科比-布莱恩特,26,38.9%,7,18,44,12,6,1,1,3,10,11,2,3
15,沙奎尔-奥尼尔,36,54.5%,12,22,40,16,1,1,4,5,12,21,0,0
16,沙奎尔-奥尼尔,40,60.9%,14,23,41,12,8,0,1,4,12,14,0,0
17,沙奎尔-奥尼尔,35,63.2%,12,19,42,11,2,0,4,2,11,17,0,0
18,沙奎尔-奥尼尔,34,60.0%,12,20,43,10,4,1,2,3,10,16,0,0
19,杰森-基德,23,42.3%,11,26,43,10,10,3,0,1,0,1,1,3
20,杰森-基德,17,35.3%,6,17,39,9,7,2,1,5,2,3,3,8
21,杰森-基德,30,56.5%,13,23,43,5,10,3,1,2,3,5,1,5
22,杰森-基德,13,35.7%,5,14,43,5,12,1,1,4,2,2,1,4
23,科比-布莱恩特,22,37.5%,6,16,43,3,6,1,0,4,10,11,0,2
24,科比-布莱恩特,24,60.0%,9,15,42,8,3,2,1,4,3,4,3,3
25,科比-布莱恩特,36,60.9%,14,23,46,6,4,1,2,6,7,10,1,3
26,科比-布莱恩特,25,43.8%,7,16,44,6,8,2,0,1,9,11,2,3
27,沙奎尔-奥尼尔,43,67.7%,21,31,44,19,4,0,3,2,1,6,0,0
28,沙奎尔-奥尼尔,40,61.1%,11,18,46,24,4,0,3,2,18,39,0,0
29,沙奎尔-奥尼尔,33,62.5%,15,24,47,13,1,2,2,3,3,13,0,0
30,沙奎尔-奥尼尔,36,52.0%,13,25,47,21,1,2,2,3,10,17,0,0
31,沙奎尔-奥尼尔,35,63.0%,17,27,42,11,3,2,2,3,1,6,0,0
32,沙奎尔-奥尼尔,41,59.4%,19,32,47,12,1,0,4,0,3,12,0,0
33,雷吉-米勒,7,6.3%,1,16,41,2,4,1,0,0,5,5,0,3
34,雷吉-米勒,21,43.8%,7,16,36,2,4,0,0,0,6,6,1,5
35,雷吉-米勒,33,50.0%,11,22,46,2,2,1,0,3,9,9,2,7
36,雷吉-米勒,35,47.4%,9,19,50,5,3,1,1,1,11,12,6,9
37,雷吉-米勒,25,58.3%,7,12,39,4,6,1,1,2,7,7,4,6
38,雷吉-米勒,25,42.1%,8,19,40,1,3,1,0,2,7,7,2,10
39,科比-布莱恩特,14,46.2%,6,13,38,3,5,1,2,2,2,2,0,2
40,科比-布莱恩特,2,33.3%,1,3,9,1,4,0,1,0,0,0,0,1
41,科比-布莱恩特,28,51.9%,14,27,47,4,5,1,2,3,0,0,0,0
42,科比-布莱恩特,8,20.0%,4,20,37,5,3,2,0,0,0,0,0,1
43,科比-布莱恩特,26,29.6%,8,27,45,10,4,1,2,1,8,9,2,6
